nome,preco
"Iogurte Líquido ITAMBÉ Vários Sabores 1,25 kg","9,98"
Iogurte c/ Polpa de Frutas ITAMBÉ Tradicional Vários  Sabores Bandeja 540g,"4,29"
"Iogurte Grego, Pedaços ou Milk ITAMBÉ Vários Sabores Potão 500g","6,95"
Iogurte Natural ITAMBÉ Vários Sabores 170g,"2,38"
Iogurte Líquido VIGOR Viv 3 Grãos Vários Sabores 180g,"2,95"
Iogurte Grego VIGOR Vários Sabores 100g,"2,29"
Iogurte Natural VIGOR Viv 3 Grãos Vários Sabores 100g,"2,98"
Iogurte Natural VIGOR Vários Sabores 170g,"2,25"
Iogurte Zero Lactose VERDE CAMPO Whey 28g  Vários Sabores 500g,"10,98"
Bebida Láctea TODDYNHO Chocolate TP 200ml,"1,89"
Margarina DELÍCIA c/ Sal (Exceto Light) Pote 500g,"5,99"
Queijo Tipo Cottage ECILA 250g,"7,75"
Dadinhos de Tapioca QUALITY FRIES 300g,"9,95"
Pão de Queijo FORNO DE MINAS Edição 30 Anos 400g,"10,98"
Pão de Queijo FORNO DE MINAS Waffle 200g,"9,98"
Pão de Queijo CATUPIRY Assado e Recheado 390g,"13,98"
Pão de Queijo Recheado CATUPIRY Vários Sabores 300g,"13,50"
Pizza CATUPIRY Vários Sabores 490g / 520g,"22,98"
"Sorvete NOBRELLI Tentazione  Vários Sabores 1,5 L","19,90"
Massa Fresca Talharim MEZZANI 500g,"5,85"
Nhoque de Batata MEZZANI 500g,"6,99"
Salsicha Hot Dog  Resfriada WILSON a Granel,"9,80"
Queijo Parmesão FAIXA AZUL Cilindro 195g,"21,99"
Queijo Azul GRAN MESTRI Forma,"49,90"
Queijo Cremoso DANUBIO Light ou Tradicional Copo 220g,"5,99"
"Queijo Coalho Palito, Minas Padrão, Minas Padrão Light Metade, Minas Padrão Metade ou Prato Mini (Exceto Cobocó) REGINA","47,90"
Copa Lombo em Cubos SADIA 400g,"8,50"
Filé-Mignon em Tiras SADIA 400g,"13,50"
Lombo em Cubos SADIA 400g,"11,50"
Copa Lombo Fatiada SADIA 800g,"16,50"
Lombo Fatiado SADIA 800g,"23,50"
Filé-Mignon Fatiado SADIA 800g,"21,50"
Mortadela Defumada SADIA,"19,55"
Peito de Peru SADIA,"39,80"
Presunto Cozido SADIA,"23,40"
Blanquet de Peru SADIA,"29,90"
"Mac'n Cheese SADIA Cheddar, Bacon ou Calabresa 350g","8,98"
"Nuggets SADIA Tradicional, Crocante, Queijo, Multigrãos ou Legumes 275g / 300g","8,15"
Salame Tipo Italiano ou Hamburguês SADIA,"98,80"
Coxinhas das Asas Empanadas SADIA Tradicional ou Apimentado 400g,"11,98"
"Lasanha SADIA Bolonhesa, Frango, Presunto e Queijo, Calabresa, 4 Queijos, Peito de Peru ou Verde 600g","12,98"
Nuggets SADIA Tradicional 700g,"18,95"
Margarina QUALY 500g,"7,59"
Requeijão Cremoso QUALY 200g,"6,99"
Coração de Frango PERDIGÃO Na Brasa 800g,"28,98"
"Coxa c/ Sobrecoxa Desossada, Coxinha da Asa ou Sobrecoxa PERDIGÃO Na Brasa 800g","15,50"
"Sobrecoxas de Frango ou Coxas de Frango PERDIGÃO Assa Fácil 1,2 kg","16,98"
Lombo Levíssimo SEARA a Granel,"25,90"
Salsicha de Frango ou Hot Dog SEARA 500g,"7,68"
Lombo Tipo Canadense SEARA Gourmet a Granel,"36,50"
Peito de Peru Defumado SEARA a Granel,"39,90"
Prato Pronto Fettuccine ou Penne SEARA  Vários Sabores 350g,"6,15"
Mortadela Defumada SEARA Gourmet a Granel,"19,60"
Presunto Cozido SEARA a Granel,"21,90"
Almôndega Bovina ou Kibe SEARA 500g,"17,50"
Lasanha Super Picante SEARA 330g,"7,35"
Mac & Cheese Super Picante SEARA 300g,"7,35"
Salsicha Super Picante SEARA 330g,"8,35"
Pizza Super Picante SEARA 400g,"12,98"
Escova Dental COLGATE  Colors c/ 5,"14,99"
Escova Dental COLGATE Whitening LEVE 2 PAGUE 1,"12,99"
Escova Dental SORRISO Colors Fresh c/ 5,"14,99"
Creme Dental SORRISO  Tripla Limpeza Completa 180g GRÁTIS 40g,"2,99"
Creme Dental COLGATE Tripla Ação  LEVE 180g PAGUE 140g,"3,88"
Creme Dental COLGATE  Total 12 Vários Tipos c/ 3 de 90g,"13,99"
Enxaguante Bucal COLGATE Plax Fresh LEVE 500ml PAGUE 350ml + ENXAGUANTE BUCAL PLAX 250ml,"13,98"
Sabonete PROTEX Vários Tipos c/ 6 de 85g,"10,99"
Sabonete Líquido PALMOLIVE Jasmim e Cacau Refil 900ml,"12,99"
Desodorante Roll On REXONA Men V8 ou Powder 50ml c/ 2,"13,99"
Aparelho Depilatório GILLETTE VENUS 3 Vários Tipos LEVE 4 PAGUE 3,"16,99"
Shampoo 400ml +  Condicionador 200ml DOVE Vários Tipos,"17,99"
Shampoo  375ml + Condicionador 170ml L’ORÉAL ELSEVE Vários Tipos,"14,75"
Shampoo  375ml + Condicionador 170ml OX Vários Tipos,"19,98"
Aparelho GILLETTE PRESTOBARBA 3 LEVE 4 PAGUE 3,"17,99"
Roupa Íntima PLENITUD Active Mulher,"19,98"
Fraldas TURMA DA MÔNICA Baby JUMBO,"17,99"
Absorventes INTIMUS Normal Seca ou Suave c/ Abas LEVE 16 PAGUE 14,"6,48"
Absorventes ALWAYS Noturno Active Seca ou Pink Suave c/ 32 Unidades LEVE MAIS POR MENOS,"17,98"
COCA-COLA sem Açúcar 350ml,"1,99"
COCA-COLA Original 350ml,"2,49"
FANTA Laranja 350ml,"1,99"
DEL VALLE Kapo 200ml,"1,35"
Matte ou Ice Tea LEÃO 290ml,"2,45"
"Matte ou Ice Tea LEÃO 1,5 L","5,88"
COCA-COLA Original + FANTA Guaraná 2 L,"11,49"
COCA-COLA Original + FANTA Laranja 2 L,"11,49"
Salgadinhos de Batata PIRAQUÊ Diversos Sabores 60g,"3,98"
Biscoito PIRAQUÊ Roladinho Goiaba 75g,"2,99"
Salgadinhos Comida Di Buteco PIRAQUÊ Diversos Sabores 90g,"3,48"
Biscoitos Chocowafer Bag PIRAQUÊ 63g,"2,10"
Salgadinhos PIRAQUÊ Diversos Sabores 100g,"3,49"
Biscoito PIRAQUÊ Cream Cracker 200g,"3,39"
Biscoito PIRAQUÊ Água Gergelim 240g GRÁTIS 40g,"3,39"
Loção Hidratante PROTEX Baby 200ml,"22,90"
Sabonete Líquido PROTEX Baby 380ml,"17,98"
Toalhas Umedecidas PROTEX Baby c/ 48,"9,98"
Sabonete Líquido PROTEX Baby 200ml,"15,98"
Sabonetes PROTEX Baby 85g,"2,48"
Sabonete Líquido PROTEX Baby 400ml,"19,98"
Lava-Roupas Líquido BRILHANTE p/ Diluir 500ml + Garrafa de 3 L,"17,98"
"Lava-Roupas Líquido ARIEL 30 Lavagens 1,2 L","19,98"
Lava-Roupas Líquido RUTH CARE Coco 500ml,"4,99"
"Amaciante de Roupas DOWNY Concentrado Brisa de Verão 1,25 L  GRÁTIS 250ml","21,99"
Sabão de Coco RUTH CARE c/ 5 de 200g,"13,95"
Amaciante de Roupas COMFORT Concentrado Vários Tipos 500ml,"5,99"
Amaciante de Roupas MON BIJOU Vários Tipos 2 L GRÁTIS 200ml,"6,99"
Tira-Manchas Multiúso VANISH em Pó c/ 2 de 450g 50% DE DESCONTO NO VANISH WHITE,"27,99"
Desinfetante LYSOFORM Vários Tipos 1 L,"7,99"
Desinfetante PINHO SOL Vários Tipos LEVE 500ml PAGUE 450ml,"3,99"
Desinfetante PINHO BRIL Silvestre Plus 1 L,"5,49"
Desinfetante Aerossol LYSOFORM Vários Tipos 360ml,"16,90"
Limpador Perfumado AJAX Vários Tipos 1 L,"6,49"
Álcool Líquido PROTEGE ACTION 70º INPM 1 L,"8,49"
Álcool em Gel MONTENEGRO 70º INPM 500g,"7,99"
Limpador p/ Banheiro Tira-Limo VEJA X-14 Squeeze 500ml 20% DE DESCONTO ,"7,99"
Limpador p/ Banheiro Tira-Limo VEJA X-14 Recarga c/ 2 de 500ml 50% DE  DESCONTO  NA 2ª UNIDADE,"16,99"
Limpador Multiúso CIF Antibac c/ 3 de 500ml  50% DE  DESCONTO  NA 3ª UNIDADE,"8,97"
Cloro Gel VIM Aditivado Vários Tipos 700ml,"6,99"
Sabão Pastoso BARRA 500g,"4,99"
